Date,Symbol,Series,Mkt Cap (₹ Crores),AVOL(20),ADR(20),Price_1D,Change_1W,Change_1M,Change_3M,Change_6M,Change_9M,Change_12M,RS_1M,RS_3M,RS_6M,RS_9M,RS_12M,Total_RS (CNX500),RS_score
11-09-2025,NSE:SPANDANA,EQ,1740.56,2.23,3.36,262.19,-0.49,5.79,-1.23,0.83,-40.61,-122.17,3.76,-1.47,-10.68,-39.79,-120.55,0.9288966970685598,16
11-09-2025,NSE:JYOTHYLAB,EQ,12430.21,3.24,2.36,324.7,-3.77,-0.54,-5.96,-1.57,-29.97,-68.28,-2.57,-6.2,-13.08,-29.15,-66.66,0.9288522458911476,16
11-09-2025,NSE:MAXESTATES,EQ,7164.15,1.3,3.25,439.25,0.96,-3.80,-14.24,1.13,-29.77,-37.61,-5.83,-14.48,-10.38,-28.95,-35.99,0.9287805964132454,16
11-09-2025,NSE:MANINFRA,EQ,6060.89,5.28,2.88,155.59,-3.73,-5.73,-7.17,0.96,-55.41,-23.65,-7.76,-7.41,-10.55,-54.59,-22.03,0.9286766538574619,16
11-09-2025,NSE:FCL,EQ,2720.59,2.5,3.14,240.31,1.13,3.31,-10.89,0.82,-46.02,-52.51,1.28,-11.13,-10.69,-45.2,-50.89,0.9278578177729903,16
11-09-2025,NSE:VSTIND,EQ,4568.41,1.7,1.8,267.95,-1.98,-3.47,-8.01,1.08,-20.68,-79.60,-5.5,-8.25,-10.43,-19.86,-77.98,0.927791035242928,15
11-09-2025,NSE:EFCIL,EQ,3384.81,2.03,3.45,305.05,-7.87,-13.98,-13.98,-13.98,-13.98,-13.98,-16.01,-14.22,-25.49,-13.16,-12.36,0.9272002468996853,15
11-09-2025,NSE:RADIANTCMS,EQ,637.9,2.58,3.64,56.86,2.57,5.52,-16.02,-5.47,-40.91,-41.07,3.49,-16.26,-16.98,-40.09,-39.45,0.9268079575462965,15
11-09-2025,NSE:IVC,EQ,254.37,2.54,3.69,8.71,-1.03,2.07,-7.23,-14.24,-37.20,-39.84,0.04,-7.47,-25.75,-36.38,-38.22,0.9267483484919805,15
11-09-2025,NSE:TORNTPOWER,EQ,62428.61,6.66,2.47,1268.3,-2.10,-6.05,-10.30,-5.02,-29.78,-33.63,-8.08,-10.54,-16.53,-28.96,-32.01,0.9266048495343211,15
11-09-2025,NSE:CLEAN,EQ,12435.39,20.94,3.86,1157.2,0.15,-1.54,-26.12,-9.84,-11.39,-30.91,-3.57,-26.36,-21.35,-10.57,-29.29,0.9262686276009093,15
11-09-2025,NSE:ASHOKA,EQ,4851.46,7.55,2.84,188.26,-0.93,2.32,-10.81,-0.61,-51.18,-44.01,0.29,-11.05,-12.12,-50.36,-42.39,0.9262405222468334,15
11-09-2025,NSE:SUNTV,EQ,21319.98,2.76,2.41,560.2,0.07,-1.37,-12.64,-1.73,-34.76,-42.94,-3.4,-12.88,-13.24,-33.94,-41.32,0.926232037120906,15
11-09-2025,NSE:ARISINFRA,EQ,1183.79,7.16,3.83,163.81,12.75,9.14,-25.14,-25.14,-25.14,-25.14,7.11,-25.38,-36.65,-24.32,-23.52,0.9257832881813307,15
11-09-2025,NSE:GRAVITA,EQ,11934.83,2.27,2.78,1659.2,0.08,-8.24,-8.54,-1.89,-36.07,-34.90,-10.27,-8.78,-13.4,-35.25,-33.28,0.9249814184361761,15
11-09-2025,NSE:CROMPTON,EQ,21250.37,20.2,2.19,315.2,-4.01,-0.84,-9.06,-9.28,-31.38,-47.02,-2.87,-9.3,-20.79,-30.56,-45.4,0.9248234655073313,15
11-09-2025,NSE:OIL,EQ,63421.44,19.68,2.44,394.65,0.27,-7.30,-18.67,6.31,-18.55,-58.86,-9.33,-18.91,-5.2,-17.73,-57.24,0.9248027076366072,15
11-09-2025,NSE:ABB,EQ,105933,2.6,1.69,5218.1,1.06,3.28,-15.39,-2.08,-45.07,-44.04,1.25,-15.63,-13.59,-44.25,-42.42,0.9242399028518847,15
11-09-2025,NSE:DHAMPURSUG,EQ,795.79,3.26,2.85,135.21,-1.26,1.10,-15.45,4.79,-39.18,-62.41,-0.93,-15.69,-6.72,-38.36,-60.79,0.9241796884591649,14
11-09-2025,NSE:ADFFOODS,EQ,2280.77,1.6,3.79,229.28,-3.90,0.09,-23.66,-3.78,-46.15,-15.30,-1.94,-23.9,-15.29,-45.33,-13.68,0.924002983713435,14
11-09-2025,NSE:REMSONSIND,EQ,417.5,1.64,4.39,125,-1.79,-2.42,-10.91,-3.72,-37.90,-42.30,-4.45,-11.15,-15.23,-37.08,-40.68,0.9238365600424845,14
11-09-2025,NSE:NCC,EQ,12832.56,20.52,2.29,208.23,0.45,-7.46,-11.20,11.28,-50.27,-51.83,-9.49,-11.44,-0.23,-49.45,-50.21,0.9235608738977572,14
11-09-2025,NSE:ALEMBICLTD,EQ,2620.2,2.41,2.31,103.99,-0.11,-4.72,-14.84,4.54,-32.97,-52.44,-6.75,-15.08,-6.97,-32.15,-50.82,0.9234542666093438,14
11-09-2025,NSE:CYIENT,EQ,12974.73,3.18,2.47,1233.6,4.10,5.74,-6.61,-2.92,-62.30,-62.88,3.71,-6.85,-14.43,-61.48,-61.26,0.9234110213570602,14
11-09-2025,NSE:KRITIKA,EQ,246.31,4.4,6.39,9.21,-3.80,5.97,-9.66,1.85,-40.93,-106.08,3.94,-9.9,-9.66,-40.11,-104.46,0.9231310702827197,14
11-09-2025,NSE:WEL,EQ,1755.5,3.66,5.78,140.08,0.29,-9.40,-23.48,-31.39,-17.04,3.32,-11.43,-23.72,-42.9,-16.22,4.94,0.9230018574609133,14
