Date,Symbol,Series,Mkt Cap (₹ Crores),AVOL(50),ADR(20),ATR(20),RPS,CMP,Change_1D,Change_1W,Change_10D,Change_15D,Change_1M,Change_3M,Change_6M,Change_9M,Change_12M,Change_20M,Momo_10D,Momo_1M,Momo_3M,Momo_6M,Momo_9M,Momo_12M,Gap_10D,6EMA_10D,10EMA_20D,21EMA_40D,50SMA_100D,Below_1M,Below_3M,Below_6M,Below_12M,Below_20M,NB_1M,NB_3M,NB_6M,NB_9M,NB_12M,NB_20M,Above_3M,Above_6M,Above_12M,Above_20M,NA_1M,NA_3M,NA_6M,NA_9M,NA_12M,NA_20M,RS_1M,RS_3M,RS_6M,RS_9M,RS_12M,Total_RS (CNX500),RS_score,NC_1M,NC_3M,NC_6M,NC_9M,NC_12M,NC_20M,NRS_1M,NRS_3M,NRS_6M,NRS_9M,NRS_12M,Total_NRS (CNX500),NRS_score
17-10-2025,NSE:ARIHANTSUP,EQ,1655.04,74446,4.09,4.06,6,421.05,0.73,-1.09,6.19,3.6,2.85,-6.35,3.93,-15.01,10.24,9.2,HV2Y,HV2Y,-1,-1,HV2Y,HV2Y,-1,-1,-1,-1,-1,-2.56,-5.31,-5.97,-22.44,-22.44,-2.56,-8.65,-14.53,-25.49,-10.8,-10.61,7.34,21.6,28.64,54.32,6.97,15.42,29.33,43.92,77.48,38.52,2.2,-7.11,-4.19,-23.98,10.79,0.979558,55,,,,,,,2.2,-9.58,2.25,-20.64,32.41,1.007206,69
17-10-2025,NSE:RGL,EQ,1284.88,552801,4.63,4.58,0,133.3,0.31,-1.62,9.58,11.56,8.25,9.65,7.06,-38.55,-15.61,15.38,-1,-1,HV2Q,-1,HVQ,HV2Y,-1,-1,-1,-1,-1,-1.96,-1.96,-2.41,-33.81,-33.81,-1.96,-1.81,-40.2,-38.49,-4.43,0,26.4,26.4,26.95,49.27,18.71,15.97,14.7,38.73,106.82,72.58,7.6,8.89,-1.06,-47.52,-15.06,0.979409,55,,,,,,,7.6,1.41,-10.28,-50,27.02,0.995139,54
17-10-2025,NSE:MRPL,EQ,22739.97,3626532,3.82,3.82,1,140.87,-1.89,-2.12,-1.8,7.93,7.77,-4.71,3.31,2.88,-22.44,-42.58,-1,-1,EEP,HV2Q,EEP,EEP,-1,-1,-1,-1,-1,-5.63,-9.63,-9.63,-17.12,-50.76,-5.63,-16.65,-2.23,-43.47,-52.18,-39.71,15.8,15.8,38.93,38.93,10.58,6.81,45.46,34.33,2.01,0.18,7.12,-5.47,-4.81,-6.09,-21.89,0.9794,55,,,,,,,7.12,-13.63,0.23,-1.36,-15.61,0.985335,41
17-10-2025,NSE:KPIGREEN,EQ,9531.57,611660,3.34,3.34,3,478.45,4.07,7.49,5.4,1.65,-1.8,-15.24,10.71,12.51,-11.21,-0.19,-1,-1,-1,EEP,-1,EEP,-1,-1,-1,-1,-1,-0.59,-12.64,-14.02,-16.33,-34.69,-0.59,-12.47,-0.92,-41.68,-42.86,-27.37,13.43,37.35,50.76,50.76,13.43,4.09,73.74,34.61,24.32,58.02,-2.45,-16,2.59,3.54,-10.66,0.979364,55,,,,,,,-2.45,-13.31,15.1,1.09,-16.65,0.992776,51
17-10-2025,NSE:INFLUX,ST,444.49,66816,4.29,4.49,2,171.9,-1.55,1.69,1.66,-2.3,-13.47,8.41,NA,NA,NA,NA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-10.47,-14.01,NA,NA,NA,-10.47,-2.43,NA,NA,NA,NA,19.33,NA,NA,NA,1.72,57.11,NA,NA,NA,NA,-14.12,7.65,0,0,0,0.979286,55,,,,,,,-14.12,19.17,92.58,-0.92,10.46,1.01331,74
17-10-2025,NSE:BHEL,EQ,83012.39,7063263,2.15,2.16,5,232.62,-1.50,-3.02,-5.33,-0.86,-0.73,-8.87,2.25,15.27,-15.53,0.78,-1,-1,-1,EEP,EEP,HV2Y,-1,-1,-1,-1,-1,-5.17,-8.65,-12.75,-14.35,-30.08,-5.17,-12.01,-5.01,-30.12,-40.76,-19.22,11.83,11.83,29.83,29.83,0.7,12.65,41.35,26.91,2.35,25.97,-1.38,-9.63,-5.87,6.3,-14.98,0.97926,55,,,,,,,-1.38,-8.19,2.79,12.4,-25.89,0.991484,50
17-10-2025,NSE:KANSAINER,EQ,20293.41,590632,2.23,2.21,0,253.26,3.30,2.27,0.36,3.17,1.49,1.39,-1.92,3.83,-13.64,-24.99,-1,-1,-1,-1,EEP,EEP,-1,-1,-1,-1,-1,0,0,-6.18,-14.29,-20.04,0,-1.05,-7.48,-18.37,-29.24,-16.39,8.87,8.87,14.09,14.09,3.54,7.25,12.51,16.28,0,11.27,0.84,0.63,-10.04,-5.14,-13.09,0.979138,55,,,,,,,0.84,-0.21,-10.77,4.72,-7.71,0.990957,49
17-10-2025,NSE:DBL,EQ,9210.62,441482,4.19,4.11,3,488.7,-1.31,-7.31,-3.17,-8.66,-17.75,-1.79,6.39,14.15,-4.32,19.45,-1,-1,HV2Q,HVQ,-1,HV2Y,-1,-1,-1,-1,-1,-14.79,-15.08,-15.08,-15.08,-15.27,-14.79,0,-7.97,-20.68,-27.26,-11.61,6.53,16.43,29.44,29.44,3.38,25.44,31.76,21.16,11.82,35.87,-18.4,-2.55,-1.73,5.18,-3.77,0.978909,55,,,,,,,-18.4,13.44,0.62,7.37,-11.05,1.001349,62
17-10-2025,NSE:INDSWFTLAB,BE,630.44,50153,4.21,4.19,0,101.35,-3.12,-3.33,4.06,-1.85,-3.97,-5.73,14.05,0.84,-11.14,-14.95,-1,-1,-1,HVQ,HV2Y,HV2Y,-1,-1,-1,-1,-1,-5.89,-8.01,-15.65,-23.07,-42.65,-5.89,-12.3,-10.81,-50.71,-43.13,-36.26,8.42,44.52,44.52,44.52,6.43,12.72,52.8,5.32,11.75,18.44,-4.62,-6.49,5.93,-8.13,-10.59,0.978642,55,,,,,,,-4.62,-1.81,11.29,-16.29,-1.62,0.991872,50
17-10-2025,NSE:OLECTRA,EQ,13494.07,835603,2.86,2.83,3,1426.9,-1.23,-6.34,-8.28,-12.96,-16.62,10.62,13.01,-0.63,-22.39,-31.74,-1,-1,HV2Y,EEP,EEP,EEP,-1,-1,-1,-1,-1,-14.61,-14.61,-14.61,-17.37,-33.17,-14.61,0,-13.02,-31.53,-32.75,-18.21,12.68,30.29,40.4,40.4,0,45.07,25.48,22.14,14.27,14.1,-17.27,9.86,4.89,-9.6,-21.84,0.978522,55,,,,,,,-17.27,23.25,-4.75,-16.6,-11.16,0.995815,55
