Date,Symbol,Series,Mkt Cap (₹ Crores),AVOL(20),ADR(20),CMP,Change_1D,Change_1W,Change_10D,Change_1M,Change_3M,Change_6M,Change_9M,Change_12M,Momo_1M,HighMomo_10D,6EMA_10D,10EMA_21D,21EMA_50D,50SMA_65D,Below_3M,Below_6M,Below_12M,Above_3M,Above_6M,Above_12M,RS_1M,RS_3M,RS_6M,RS_9M,RS_12M,Total_RS (CNX500),RS_score,NRS_1M,NRS_3M,NRS_6M,NRS_9M,NRS_12M,Total_NRS (CNX500),NRS_score
21-09-2025,NSE:GODIGIT,EQ,32223.55,5.33,2.82,349.3,-0.77,-2.91,-1.36,-3.98,-1.98,12.65,0.37,-6.28,0,0,-1,-1,-1,-1,-6.19,-6.19,-12.32,5.53,25.31,25.42,-5.44,-3.88,0.6,-1.29,-4.23,0.985369,41,-5.44,1.49,4,-2.26,-2.9,0.996308,42
21-09-2025,NSE:SAMBHV,EQ,3624.46,15.41,3.69,123.53,-0.05,2.84,1.18,1.06,NA,NA,NA,NA,0,0,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,-0.4,0,0,0,0,0.985346,40,-0.4,99.56,-10.35,11.8,3.78,1.000801,49
21-09-2025,NSE:HINDZINC,EQ,191575.96,33.12,2.23,453.05,-0.40,-2.19,2.86,5.09,3.19,3.68,-8.3,-9.58,0,0,-1,-1,-1,-1,-2.14,-15.17,-19.16,9.06,13.09,16.93,3.63,1.29,-8.37,-9.96,-7.53,0.984909,40,3.63,-2.44,-9.85,-0.63,2.6,0.993605,38
21-09-2025,NSE:LATENTVIEW,EQ,8759.89,2.58,2.55,424.6,-0.78,1.77,-1.05,-0.65,5.29,15.4,-16.51,-13.4,0,0,-1,-1,-1,-1,-5.34,-5.34,-17.75,9.25,20.61,22.15,-2.11,3.39,3.35,-18.17,-11.35,0.984857,40,-2.11,5.46,0.33,-25.92,6.45,0.995045,40
21-09-2025,NSE:ANTHEM,EQ,47540.29,5.93,2.94,846.1,-1.28,1.49,1.93,0.61,NA,NA,NA,NA,0,0,-1,-1,0,-1,NA,NA,NA,NA,NA,NA,-0.85,0,0,0,0,0.984788,40,-0.85,99.56,-10.35,11.8,3.78,1.000235,49
21-09-2025,NSE:TITAN,EQ,308061.8,6.89,1.58,3467.2,-1.26,-3.02,-5.71,-3.69,-1.49,11.12,1.76,-7.89,0,0,-1,-1,-1,-1,-6.49,-6.49,-9.33,4.56,16.08,16.08,-5.15,-3.39,-0.93,0.1,-5.84,0.984765,40,-5.15,1.67,2.08,1.27,-6.04,0.995096,40
21-09-2025,NSE:KANSAINER,EQ,20293.41,6.83,2.43,251.85,-0.55,1.71,3.56,3.03,4.78,8.74,-3.91,-24.2,0,0,-1,-1,-1,-1,-0.55,-6.7,-19.15,8.27,8.28,13.45,1.57,2.88,-3.31,-5.57,-22.15,0.984677,40,1.57,1.37,-6.2,-2.06,-15.75,0.986565,29
21-09-2025,NSE:JSFB,EQ,4850.43,1.49,2.78,461.2,-1.45,1.12,-5.88,-0.67,-5.54,10.33,13.32,-26.16,0,0,-1,-1,-1,-1,-10.12,-12.26,-21.96,2.16,14.29,26.15,-2.13,-7.44,-1.72,11.66,-24.11,0.984603,40,-2.13,-5.28,4.69,15.14,-41.77,0.987905,30
21-09-2025,NSE:ABLBL,EQ,17328.19,12.98,3.09,141.44,-3.25,-2.86,-0.11,0.45,NA,NA,NA,NA,0,0,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,-1.01,0,0,0,0,0.984587,40,-1.01,99.56,-10.35,11.8,3.78,1.00003,48
21-09-2025,NSE:SUNDRMFAST,EQ,21790.31,1.67,2.49,1038.2,-0.53,1.39,2.33,4.18,7.13,11,-8.77,-32.93,0,0,-1,-1,-1,-1,-3,-3,-29.83,12.02,22.34,22.34,2.72,5.23,-1.05,-10.43,-30.88,0.984246,40,2.72,2.64,-6.18,-10.41,-18.43,0.983164,24
