Date,Symbol,Series,Mkt Cap (₹ Crores),AVOL(20),ADR(20),CMP,Change_1D,Change_1W,Change_10D,Change_1M,Change_3M,Change_6M,Change_9M,Change_12M,Momo_10D,Momo_1M,Momo_3M,Momo_6M,Momo_12M,Gap_10D,6EMA_10D,10EMA_20D,21EMA_40D,50SMA_100D,Below_3M,Below_6M,Below_12M,Above_3M,Above_6M,Above_12M,RS_1M,RS_3M,RS_6M,RS_9M,RS_12M,Total_RS (CNX500),RS_score,NRS_1M,NRS_3M,NRS_6M,NRS_9M,NRS_12M,Total_NRS (CNX500),NRS_score
25-09-2025,NSE:ESAFSFB,EQ,1562.01,2.42,2.19,28.91,-1.40,-3.36,-1,-1.49,-11.45,2.53,-33.62,-71.5,0,0,0,0,0,-1,-1,-1,-1,-1,-19.08,-19.08,-42.11,1.09,16.8,16.8,-1.36,-10.26,-5.06,-36.67,-67.89,0.925862,12,-2.03,-8.76,3.86,-32.17,-21.47,0.960489,6
25-09-2025,NSE:HCLTECH,EQ,398908.77,26.55,1.75,1442.3,0.87,-2.72,-1.5,-4.29,-19.05,-8.63,-32.52,-20.4,0,0,0,0,0,-1,-1,-1,-1,-1,-17.63,-18.17,-28.64,1.48,3.62,3.62,-4.16,-17.86,-16.22,-35.57,-16.79,0.925283,12,-4.83,-13.09,0.08,-17.09,16.03,0.98074,23
25-09-2025,NSE:SULA,EQ,2440.03,15.36,3.32,276.78,-1.66,-1.84,-3.1,6.66,-10.03,-3.3,-49.74,-74.6,0,HVY,HVY,HVY,0,-1,-1,-1,-1,-1,-11.76,-16.03,-44.64,8.72,8.72,8.72,6.79,-8.84,-10.89,-52.79,-70.99,0.925178,12,6.12,-16.82,-2.56,-40.05,-9.72,0.959027,5
25-09-2025,NSE:AEROENTER,EQ,972.53,1.18,2.95,84.27,-1.29,-3.95,-2.37,-6.51,-12.84,0.45,-33.18,-44.89,0,0,HV2Y,HV2Y,HV2Y,-1,-1,-1,-1,-1,-23.81,-23.81,-41.91,1.97,11.15,11.15,-6.38,-11.65,-7.14,-36.23,-41.28,0.925052,12,-7.05,-4.88,3.1,-28.87,-1.91,0.970068,12
25-09-2025,NSE:VMART,EQ,5844.88,1.92,1.94,717,-0.77,-3.2,-4.34,-4.34,-22.55,-0.85,-31.81,-28.32,0,0,0,0,0,-1,-1,-1,-1,-1,-15.9,-21.88,-35.53,0.75,2.12,3.94,-4.21,-21.36,-8.44,-34.86,-24.71,0.924951,12,-4.88,-16.39,9.03,-25.79,9.53,0.977748,20
25-09-2025,NSE:CAPACITE,EQ,2639.65,4.71,3.63,300.9,-0.55,-6.02,-1.56,0.22,-8.64,-17.81,-45.6,-27.9,0,0,0,0,HV2Y,-1,-1,-1,-1,-1,-11.6,-23.79,-34.46,7.77,7.77,7.77,0.35,-7.45,-25.4,-48.65,-24.29,0.924898,11,-0.32,-7.82,-17.12,-18.67,19.03,0.978153,20
25-09-2025,NSE:TIPSMUSIC,EQ,7682.68,1.75,2.6,582.55,-0.90,-4.09,-3.12,-0.64,-16.21,-17.64,-39.27,-16.56,0,0,0,0,2,-1,-1,-1,-1,-1,-12.35,-15.92,-36.81,4.99,4.99,4.99,-0.51,-15.02,-25.23,-42.32,-12.95,0.92488,11,-1.18,-14.41,-9.91,-13.48,23.19,0.98363,27
25-09-2025,NSE:VSTIND,EQ,4571.81,1.4,1.3,264.6,-0.71,-2.55,-1.55,-3.53,-9.92,-3.48,-26.51,-66.29,0,0,HVQ,0,HV2Y,-1,-1,-1,-1,-1,-16.55,-20.29,-36.78,0,2.05,6.6,-3.4,-8.73,-11.07,-29.56,-62.68,0.92484,11,-4.07,-5.11,-2.82,-17.35,-24.56,0.961232,6
25-09-2025,NSE:INDUSINDBK,EQ,57963.25,24.47,1.79,740.75,-1.92,0.23,-1.42,-4.06,-12.02,7.27,-25.47,-100.44,0,0,0,0,HV2Y,-1,-1,-1,-1,-1,-15.92,-15.92,-49.44,0.88,16.28,16.28,-3.93,-10.83,-0.32,-28.52,-96.83,0.924781,11,-4.6,-6.59,8.54,-30.4,-52.87,0.954734,3
25-09-2025,NSE:BEPL,EQ,2633.42,2.39,1.84,104.26,-1.05,-2.7,-1.86,-2.65,-10.99,-6.74,-35.45,-45.32,0,0,0,0,HV2Y,-1,-1,-1,-1,-1,-12.36,-14.58,-37.21,0,0.49,4.48,-2.52,-9.8,-14.33,-38.5,-41.71,0.924149,11,-3.19,-7.07,-4.85,-21.98,-0.41,0.968417,11
