Date,Symbol,Series,Mkt Cap (₹ Crores),AVOL(20),ADR(20),CMP,Change_1W,Change_10D,Change_1M,Change_3M,Change_6M,Change_9M,Change_12M,Off_3M_peak,Off_6M_peak,Off_12M_peak,RS_1M,RS_3M,RS_6M,RS_9M,RS_12M,Total_RS (CNX500),RS_score,NRS_1M,NRS_3M,NRS_6M,NRS_9M,NRS_12M,Total_NRS (CNX500),NRS_score
14-09-2025,NSE:VEDL,EQ,164588.23,96.28,2.21,450.9,1.20,6.71,3.91,-1.60,2.99,-10.94,-2.07,-3.95,-4.54,-13.62,1.23,-2.82,-9.62,-10.4,-0.73,0.979845,41,1.23,-4.24,-7,0.67,8.8,0.997021,47
14-09-2025,NSE:SFL,EQ,7544.53,1.3,3.23,737.25,2.72,6.12,10.00,9.50,3.90,-28.58,-25.99,-2.86,-3.43,-29.04,7.32,8.28,-8.71,-28.04,-24.65,0.979822,41,7.32,0.94,-17.71,-18.76,2.81,0.986594,33
14-09-2025,NSE:FEDERALBNK,EQ,47209.84,54.42,1.57,194.36,1.98,1.36,-0.83,-5.63,7.84,-10.28,4.82,-11.14,-11.14,-11.14,-3.51,-6.85,-4.77,-9.74,6.16,0.97957,41,-3.51,-3.26,1.23,-4.62,14.49,1.00264,55
14-09-2025,NSE:NITCO,EQ,2636.02,1.94,5.13,115.46,-2.81,1.39,-12.01,-15.23,9.66,-19.45,28.34,-28.26,-28.26,-28.26,-14.69,-16.45,-2.95,-18.91,29.68,0.979017,41,-14.69,-1.38,10.08,-17.18,40.81,1.03491,83
14-09-2025,NSE:SHRIRAMFIN,EQ,109450.53,69.69,2.2,632.85,6.38,8.31,3.31,-5.42,1.15,-0.70,-4.79,-10.47,-10.47,-12.79,0.63,-6.64,-11.46,-0.16,-3.45,0.979016,41,0.63,-7.53,-5.29,13.17,-3.25,0.994256,43
14-09-2025,NSE:TNPL,EQ,1109.45,5.91,3.11,160.92,-1.88,-0.93,5.46,-0.08,16.51,-12.51,-36.52,-13.39,-13.39,-27.54,2.78,-1.3,3.9,-11.97,-35.18,0.978823,41,2.78,-4.36,5.06,-19.72,-20.54,0.980986,26
14-09-2025,NSE:WHIRLPOOL,EQ,16493.34,1.62,2.89,1351.5,-0.41,3.77,8.02,1.69,28.77,-42.76,-58.24,-6.5,-6.5,-43.87,5.34,0.47,16.16,-42.22,-56.9,0.97876,41,5.34,-5.39,16.03,-85.38,-10.04,0.983992,29
14-09-2025,NSE:KANSAINER,EQ,19381.42,6.03,2.52,247.54,1.88,3.05,3.71,2.06,6.81,-6.37,-23.15,-1.83,-8.3,-21.71,1.03,0.84,-5.8,-5.83,-21.81,0.978688,41,1.03,-0.22,-6.67,0.9,-14.98,0.985162,31
14-09-2025,NSE:INDGN,EQ,13022.75,3.25,2.52,575.05,2.37,5.70,0.09,-4.21,12.07,-2.73,-15.98,-3.04,-7.21,-21.52,-2.59,-5.43,-0.54,-2.19,-14.64,0.978603,40,-2.59,-2.8,4.1,-1.79,-12.1,0.989031,36
14-09-2025,NSE:GREENPLY,EQ,3845.08,1.32,2.97,318.8,7.18,3.18,2.56,-4.58,13.79,-6.60,-19.18,-6.74,-6.74,-19.11,-0.12,-5.8,1.18,-6.06,-17.84,0.978501,40,-0.12,-5.82,6.04,-8.61,-11,0.987791,34
14-09-2025,NSE:DCXINDIA,EQ,2911.64,14.43,3.11,275.55,2.67,4.92,8.95,-7.33,15.12,-17.91,-18.84,-7.19,-20.9,-28.17,6.27,-8.55,2.51,-17.37,-17.5,0.978347,40,6.27,-16.38,9.4,-23.87,0.02,0.990422,37
14-09-2025,NSE:MIRZAINT,EQ,449.16,1.32,3.36,33.45,-0.45,4.19,0.57,8.49,11.75,-17.82,-28.52,-7.72,-7.72,-26.24,-2.11,7.27,-0.86,-17.28,-27.18,0.978282,40,-2.11,9.47,-7.96,-18.46,-8.28,0.985617,31
14-09-2025,NSE:MOM30IETF,EQ,563.38,6.89,1.34,31.28,1.63,3.32,3.10,-1.02,12.85,-14.83,-16.40,-3.75,-3.75,-19.21,0.42,-2.24,0.24,-14.29,-15.06,0.977971,40,0.42,-2.76,2.21,-16.73,-0.56,0.989774,37
14-09-2025,NSE:VOLTAS,EQ,45331.21,12.34,2.55,1403.6,-2.08,2.11,11.30,9.01,0.42,-25.86,-29.52,-2.57,-6.13,-27.24,8.62,7.79,-12.19,-25.32,-28.18,0.977795,40,8.62,-1.09,-20.96,-11.35,-2.11,0.983894,29
14-09-2025,NSE:SUNDRMFAST,EQ,21433.09,1.23,2.51,1023.8,0.96,0.39,7.89,4.12,7.21,-12.40,-35.78,-4.34,-4.34,-30.8,5.21,2.9,-5.4,-11.86,-34.44,0.977663,40,5.21,-2.59,-8.3,-6.1,-19.99,0.979586,24
