Date,Symbol,Series,Mkt Cap (₹ Crores),AVOL(20),ADR(20),Price_1D,Change_1W,Change_1M,Change_3M,Change_6M,Change_9M,Change_12M,RS_1M,RS_3M,RS_6M,RS_9M,RS_12M,Total_RS (CNX500),RS_score
07-09-2025,NSE:AARTIDRUGS,EQ,4280.56,1.49,3.5,471.15,0.34,-2.20,1.91,26.83,1.90,-23.92,-2.33,3.38,13.99,2.74,-19.84,1.0113784642146144,58
07-09-2025,NSE:JUBLINGREA,EQ,11531.95,1.8,2.17,717.8,-1.06,-2.08,1.53,19.12,-8.30,6.99,-2.21,3,6.28,-7.46,11.07,1.011359035165736,57
07-09-2025,NSE:PDMJEPAPER,EQ,1253.53,3.78,4.94,128.44,-3.15,0.20,9.90,23.65,-47.06,7.32,0.07,11.37,10.81,-46.22,11.4,1.0113313876532797,57
07-09-2025,NSE:AXISBPSETF,EQ,1107.12,4.56,1.5,12.96,0.39,1.00,2.01,4.01,5.79,7.48,0.87,3.48,-8.83,6.63,11.56,1.0112590488437008,57
07-09-2025,NSE:IGL,EQ,28911.43,19.92,2.18,213.03,2.95,2.89,1.14,14.32,15.21,-28.50,2.76,2.61,1.48,16.05,-24.42,1.0111818544618718,57
07-09-2025,NSE:MAZDOCK,EQ,105080.49,13.62,2.94,2670.7,2.53,-6.63,-27.48,19.38,11.92,21.37,-6.76,-26.01,6.54,12.76,25.45,1.0108713226874508,57
07-09-2025,NSE:BPCL,EQ,133862.35,57.76,2.31,312.5,1.38,-0.83,-1.34,22.43,5.84,-14.70,-0.96,0.13,9.59,6.68,-10.62,1.01076048151452,57
07-09-2025,NSE:COFORGE,EQ,57731.64,15.71,2.81,1658.3,-3.98,-2.92,-7.07,11.27,-5.15,23.53,-3.05,-5.6,-1.57,-4.31,27.61,1.0104506921497496,57
07-09-2025,NSE:YESBANK,EQ,60041.28,839.04,2.13,20.44,6.56,7.73,-2.01,20.21,-1.96,-16.78,7.6,-0.54,7.37,-1.12,-12.7,1.0100566664469897,57
07-09-2025,NSE:SPORTKING,EQ,1355.86,1.61,4.02,108.72,1.27,-2.10,-8.04,33.75,4.20,-34.41,-2.23,-6.57,20.91,5.04,-30.33,1.009685960551933,57
07-09-2025,NSE:ELLEN,EQ,7300.46,3.49,3.81,523.5,1.17,-10.26,7.16,7.16,7.16,7.16,-10.39,8.63,-5.68,8,11.24,1.0096515791053433,57
07-09-2025,NSE:VENTIVE,EQ,16524.24,1.05,3.76,725.05,2.26,-6.11,-2.95,22.85,1.25,1.25,-6.24,-1.48,10.01,2.09,5.33,1.0095400508237655,57
