Date,Symbol,Series,Mkt Cap (₹ Crores),AVOL(20),ADR(20),CMP,Change_1D,Change_1W,Change_10D,Change_1M,Change_3M,Change_6M,Change_9M,Change_12M,Momo_10D,Momo_1M,Momo_3M,Momo_6M,Momo_9M,Momo_12M,Gap_10D,6EMA_10D,10EMA_20D,21EMA_40D,50SMA_100D,Below_3M,Below_6M,Below_12M,Above_3M,Above_6M,Above_12M,RS_1M,RS_3M,RS_6M,RS_9M,RS_12M,Total_RS (CNX500),RS_score,NRS_1M,NRS_3M,NRS_6M,NRS_9M,NRS_12M,Total_NRS (CNX500),NRS_score
26-09-2025,NSE:BPCL,EQ,143233.36,56.73,2.01,324.35,-1.61,-1.6,1.96,4.21,-2.67,13.95,9.97,-4.24,0,0,0,0,0,EEP,-1,-1,-1,-1,-1,-8.79,-8.79,-12.33,5.24,18.81,36.68,3.45,1.32,8.33,8.6,3.1,1.025693,68,3.45,-2.4,6.94,-0.12,-6.97,1.005657,57
26-09-2025,NSE:ASAL,EQ,793.85,4.41,5.06,600.75,10.03,16.95,19.44,18.39,4.8,15.92,-13.86,-30.1,HV2Y,0,HVY,HVY,HVQ,HV2Y,-1,-1,-1,-1,-1,-4.32,-4.32,-23.7,31.4,39.32,39.32,17.63,8.79,10.3,-15.23,-22.76,1.025672,67,17.63,-11.87,2.44,-30.92,-5.44,0.995325,44
26-09-2025,NSE:MOTHERSON,EQ,115249.83,264.13,2.95,105.66,0.27,-3.24,0.92,12.82,2.75,17.05,0.81,-30.82,0,0,0,EEP,0,0,-1,-1,-1,-1,-1,-5.73,-5.73,-26.32,17.05,40.24,40.24,12.06,6.74,11.43,-0.56,-23.48,1.02558,67,12.06,-6.77,5.47,-15.09,-23.07,0.993727,42
26-09-2025,NSE:TARACHAND,EQ,559.66,1.39,4.29,70.64,-3.50,-1.32,3.41,1.34,12.83,8.47,-0.37,-7.08,0,0,HV2Q,0,HV2Y,HV2Y,-1,-1,-1,-1,-1,-10.09,-10.09,-25.89,9.27,25.23,46.98,0.58,16.82,2.85,-1.74,0.26,1.02553,67,0.58,16.42,-14.24,-5.15,2.13,1.007337,61
26-09-2025,NSE:DBL,EQ,9210.62,7.26,4.45,508.95,-4.15,-11.17,-7.65,8.56,-0.62,9.73,9.86,-10.34,0,EEP,EEP,EEP,0,EEP,-1,-1,-1,-1,-1,-11.56,-11.56,-11.56,10.94,21.25,34.8,7.8,3.37,4.11,8.49,-3,1.02552,67,7.8,-5.25,1.04,4.65,-13.6,1.002435,53
26-09-2025,NSE:TORNTPHARM,EQ,123044.54,2.11,1.97,3561,0.83,-1.92,-0.15,-0.45,6.17,8.87,4.54,2.9,0,0,0,0,0,0,-1,-1,-1,-1,-1,-5.5,-5.5,-5.5,7.45,13.89,21.52,-1.21,10.16,3.25,3.17,10.24,1.025199,67,-1.21,11.36,-6.36,-0.26,7.11,1.011379,65
26-09-2025,NSE:CSBBANK,EQ,6069.4,4.6,2.96,360.65,0.54,2.79,-2.2,-3.12,-9.21,17,10.34,10.55,0,0,0,EEP,EEP,EEP,-1,-1,-1,-1,-1,-17.13,-17.13,-17.13,3.69,21.62,31.31,-3.88,-5.22,11.38,8.97,17.89,1.02516,67,-3.88,-1.12,14.75,-3.52,9.05,1.016346,70
26-09-2025,NSE:TBOTEK,EQ,18134.16,6.52,4.37,1494.7,-3.16,-9.13,-4.01,9.15,6.86,20,-13.5,-17.04,0,EEP,0,EEP,0,0,-1,-1,-1,-1,-1,-9,-9,-19.08,14.33,47.48,47.48,8.39,10.85,14.38,-14.87,-9.7,1.024976,67,8.39,2.26,4.87,-37.39,5.7,1.001504,52
26-09-2025,NSE:PRAKASH,EQ,3024.69,8.05,3.24,169.84,-1.85,1.25,2.82,7.5,4.12,6.46,5.46,-6.02,0,0,HV2Q,HVQ,HV2Y,HV2Y,-1,-1,-1,-1,-1,-9.65,-9.65,-9.65,8.52,9.61,22.57,6.74,8.11,0.84,4.09,1.32,1.024966,67,6.74,1.12,-6.79,3.43,-3.33,1.004593,56
26-09-2025,NSE:GOPAL,EQ,4695.15,2.39,3.69,362.3,-1.66,-3.53,-2.94,-2.35,4.4,24.62,-6.1,-5.8,0,0,0,EEP,EEP,EEP,-1,-1,-1,-1,-1,-6.3,-6.3,-29.36,7.41,39.27,40.51,-3.11,8.39,19,-7.47,1.54,1.024951,67,-3.11,11.37,11.91,-36.25,9.11,1.010064,64
26-09-2025,NSE:INTELLECT,EQ,14715.92,4.9,3.91,986.15,-6.91,-7.61,-3.63,1.07,-16.4,26.18,7.18,0.9,0,EEP,EEP,EEP,EEP,EEP,-1,-1,-1,-1,-1,-17.66,-19.69,-19.69,9.28,61.04,61.04,0.31,-12.41,20.56,5.81,8.24,1.024841,67,0.31,-12.88,27.34,-21.23,2.05,1.016189,70
26-09-2025,NSE:SANSERA,EQ,9313.74,1.43,2.98,1433,-4.39,-4.33,1.33,12.14,3.83,13.83,-2.98,-18.38,0,0,0,0,0,EEP,-1,-1,-1,-1,-1,-4.91,-4.91,-16.92,15.84,39.05,39.05,11.38,7.82,8.21,-4.35,-11.04,1.024733,67,11.38,-4.67,1.16,-15.01,-6.14,0.998271,48
