Date,Symbol,Series,Mkt Cap (₹ Crores),AVOL(20),ADR(20),CMP,Change_1d,Change_1W,Change_10D,Change_1M,Change_3M,Change_6M,Change_9M,Change_12M,Below_3M,Below_6M,Below_12M,Above_3M,Above_6M,Above_12M,RS_1M,RS_3M,RS_6M,RS_9M,RS_12M,Total_RS (CNX500),RS_score,NRS_1M,NRS_3M,NRS_6M,NRS_9M,NRS_12M,Total_NRS (CNX500),NRS_score
16-09-2025,NSE:LALPATHLAB,EQ,27771.58,1.42,3.1,3270.3,,2.88,1.28,-2.37,10.46,22.84,7.06,-3.85,-5.23,-5.23,-9.3,19.47,36.3,41.54,-5.32,8.8,9.55,6.58,-3.16,1.021842,63,-5.32,13.86,2.01,-5.69,-10.56,1.004557,56
16-09-2025,NSE:SBICARD,EQ,76512.34,9.58,2.39,896.55,,8.61,11.51,11.96,-10.53,6.83,18.93,11.12,-9.56,-11.84,-11.84,13.93,13.93,35.05,9.01,-12.19,-6.46,18.45,11.81,1.021654,63,9.01,-24.22,3.89,27.76,-8.46,1.01254,66
16-09-2025,NSE:MBLINFRA,EQ,615.3,1.75,5.12,49.07,,11.62,17.77,16.73,9.52,27.94,-15.59,-34.50,,-10.81,-27.39,23.98,42.23,46.09,13.78,7.86,14.65,-16.07,-33.81,1.021514,63,13.78,-7.33,8.54,-45.64,-15.18,0.992279,39
16-09-2025,NSE:ITI,EQ,27385.28,9.82,3.21,323.05,,4.35,6.55,9.83,0.22,25.31,-13.12,9.26,-4.04,-11.46,-40.65,14.13,38.03,52.71,6.88,-1.44,12.02,-13.6,9.95,1.021404,63,6.88,-9.33,13.32,-36.68,20.96,1.017956,70
16-09-2025,NSE:JSWINFRA,EQ,62464.55,11.66,2.12,326.2,,4.03,7.20,7.16,6.87,19.53,2.15,-1.38,,,-7.51,10.2,23.42,44.98,4.21,5.21,6.24,1.67,-0.69,1.021353,63,4.21,1.02,1.77,-6.83,-2.42,1.003099,53
16-09-2025,NSE:HEG,EQ,8952.23,6.69,2.92,510.5,,2.23,6.32,1.21,1.57,20.44,-7.14,21.67,-10.92,-10.92,-14.55,10.5,27.56,50.19,-1.74,-0.09,7.15,-7.62,22.36,1.02129,63,-1.74,1.69,7.35,-19.9,28.07,1.025994,77
16-09-2025,NSE:KSCL,EQ,5988.02,1.3,3.22,1194.6,,3.94,1.55,7.57,-8.78,10.86,22.69,4.32,-7.08,-23.85,-23.85,11.69,14.68,45.72,4.62,-10.44,-2.43,22.21,5.01,1.020248,63,4.62,-16.36,6.23,28.04,-22.57,1.007942,61
16-09-2025,NSE:JUBLPHARMA,EQ,16167.04,1.83,3.04,1120.4,,0.96,7.27,5.75,0.00,22.80,-0.39,7.85,-9.37,-9.37,-11.26,9.51,35.3,35.3,2.8,-1.66,9.51,-0.87,8.54,1.019896,63,2.8,-4.77,10.98,-15.26,9.39,1.01099,64
16-09-2025,NSE:NMDC,EQ,60531.66,206.29,2.04,75.44,,1.03,3.50,8.01,9.03,14.12,-6.39,8.63,-1.35,-1.35,-7.59,12.53,23.07,25.73,5.06,7.37,0.83,-6.87,9.32,1.019886,63,5.06,2.44,-6.22,-9.11,15.3,1.011153,64
16-09-2025,NSE:CHOLAFIN,EQ,119762.83,11.51,2.16,1583.1,,4.80,9.58,7.68,1.76,8.31,15.16,3.89,-4.29,-4.93,-4.93,11.43,14.21,35.18,4.73,0.1,-4.98,14.68,4.58,1.019654,62,4.73,-5.08,-5.15,22.24,-12.1,1.005624,58
16-09-2025,NSE:JKPAPER,EQ,6345.81,18.23,3.53,399.2,,-0.74,2.72,10.77,9.32,26.23,-17.16,-10.96,-2.47,-2.47,-22.09,15.06,36.78,40.05,7.82,7.66,12.94,-17.64,-10.27,1.019228,62,7.82,-0.3,6.83,-44.04,6.47,1.003166,54
16-09-2025,NSE:RAMCOCEM,EQ,24784.71,2.01,2.69,1040,,-1.47,-3.90,-2.57,-2.82,21.14,4.03,19.48,-13.43,-13.43,-13.43,2.76,29.75,29.75,-5.52,-4.48,7.85,3.55,20.17,1.019131,62,-5.52,1.09,11.48,-6.93,17.28,1.020145,72
